date,open,close,daily_change_pct,label
2025-01-02,5947.0,5916.5,-0.5128636287203632,-1
2025-01-03,5920.25,5989.5,1.1697141168025,1
2025-01-06,5993.0,6020.5,0.4588686801268146,1
2025-01-07,6028.25,5954.25,-1.2275536017915647,-1
2025-01-08,5955.0,5959.25,0.0713685978169605,0
2025-01-09,5954.75,5944.25,-0.1763298207313489,0
2025-01-10,5943.75,5866.25,-1.3038906414300735,-1
2025-01-13,5864.5,5874.5,0.1705175206752494,0
2025-01-14,5886.5,5882.25,-0.0721990996347574,0
2025-01-15,5891.75,5989.0,1.650613145500064,1
2025-01-16,5989.0,5975.5,-0.2254132576390048,0
2025-01-17,5971.0,6033.5,1.0467258415675766,1
2025-01-21,6032.5,6084.25,0.8578532946539578,1
2025-01-22,6093.0,6120.5,0.4513376005251928,1
2025-01-23,6120.5,6152.0,0.5146638346540315,1
2025-01-24,6148.25,6133.25,-0.2439718619119261,0
2025-01-27,6106.5,6046.75,-0.9784655694751494,-1
2025-01-28,6058.0,6097.0,0.6437768240343348,1
2025-01-29,6092.0,6067.5,-0.402166776099803,-1
2025-01-30,6073.25,6099.25,0.4281068620590293,1
2025-01-31,6103.5,6067.25,-0.5939215204390923,-1
2025-02-03,6009.0,6022.25,0.2205025794641371,0
2025-02-04,6066.75,6063.0,-0.0618123377426134,0
2025-02-05,6043.75,6086.5,0.7073422957600827,1
2025-02-06,6089.0,6106.0,0.2791919855477089,0
2025-02-07,6091.0,6049.5,-0.6813331144311279,-1
2025-02-10,6016.5,6088.75,1.2008642898695254,1
2025-02-11,6085.5,6092.25,0.1109193985703722,0
2025-02-12,6090.0,6072.75,-0.2832512315270936,0
2025-02-13,6079.75,6135.25,0.9128664829968336,1
2025-02-14,6131.0,6132.0,0.0163105529277442,0
2025-02-18,6138.25,6146.75,0.1384759499857451,0
2025-02-19,6143.75,6163.0,0.3133265513733469,1
2025-02-20,6154.25,6136.5,-0.2884185725311776,0
2025-02-21,6132.75,6029.0,-1.691736985854633,-1
2025-02-24,6039.25,6000.75,-0.6374963778614894,-1
2025-02-25,6007.75,5970.0,-0.6283550414048521,-1
2025-02-26,5983.0,5970.75,-0.2047467825505599,0
2025-02-27,5981.5,5876.25,-1.7595920755663297,-1
2025-02-28,5885.0,5963.25,1.3296516567544605,1
2025-03-03,5967.5,5860.75,-1.7888563049853372,-1
2025-03-04,5875.0,5789.5,-1.4553191489361703,-1
2025-03-05,5831.75,5851.25,0.3343764736142667,1
2025-03-06,5845.5,5746.25,-1.6978872637071252,-1
2025-03-07,5765.25,5776.0,0.1864619921078877,0
2025-03-10,5753.75,5620.75,-2.311535954812079,-1
2025-03-11,5624.75,5577.0,-0.8489266189608426,-1
2025-03-12,5579.5,5604.75,0.4525495116049825,1
2025-03-13,5598.0,5527.5,-1.2593783494105038,-1
2025-03-14,5539.5,5640.0,1.8142431627403195,1
2025-03-17,5627.0,5680.25,0.9463301937089036,1
2025-03-18,5679.75,5618.0,-1.0871957392490863,-1
